id,created_at,favorite_count,retweet_count,text,entities,screen_name,datetime_utc,datetime_est,text_no_punc,polarity,datetime_rounded,final_polarity
1.5092e+18,2022-03-30 16:00:35+00:00,0,0,"rt @to_winterops: expressways, major roads, residential roads and trails are being salted where required.  #cityoftowinteralert @311toronto","{'hashtags': [{'text': 'CityofTOWinterAlert', 'indices': [107, 127]}], 'urls': [], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [3, 16]}, {'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [128, 139]}], 'symbols': []}",TO_Transport,2022-03-30 16:00:35+00:00,2022-03-30 12:00:35-04:00,rt  to winterops  expressways  major roads  residential roads and trails are being salted where required    cityoftowinteralert  311toronto,0.0,2022-03-30 12:00:00-04:00,Neutral
1.50919e+18,2022-03-30 15:39:56+00:00,0,0,@311toronto @indiaintoronto @to_winterops awaiting response for service request no. 00756498. the request was given… https://t.co/5hcmgjoior,"{'hashtags': [], 'urls': [{'url': 'https://t.co/5hcMGjoior', 'expanded_url': 'https://twitter.com/i/web/status/1509193716531175428', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [{'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [0, 11]}, {'screen_name': 'IndiainToronto', 'name': 'IndiainToronto', 'id': 4408147468, 'id_str': '4408147468', 'indices': [12, 27]}, {'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [28, 41]}], 'symbols': []}",Nanusanghvi,2022-03-30 15:39:56+00:00,2022-03-30 11:39:56-04:00, 311toronto  indiaintoronto  to winterops awaiting response for service request no  00756498  the request was given… https   t co 5hcmgjoior,-1.2,2022-03-30 12:00:00-04:00,Negative
1.50885e+18,2022-03-29 16:52:47+00:00,0,0,@cath_devries this was the one major storm we had all winter which the incompetent snow clearing/removal slackers c… https://t.co/rycwvnc4sq,"{'hashtags': [], 'urls': [{'url': 'https://t.co/rYcWVNc4sQ', 'expanded_url': 'https://twitter.com/i/web/status/1508849662442323980', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [{'screen_name': 'cath_devries', 'name': 'Catherine de Vries', 'id': 118569992, 'id_str': '118569992', 'indices': [0, 13]}], 'symbols': []}",JohnMcKellar2,2022-03-29 16:52:47+00:00,2022-03-29 12:52:47-04:00, cath devries this was the one major storm we had all winter which the incompetent snow clearing removal slackers c… https   t co rycwvnc4sq,-2.1,2022-03-29 13:00:00-04:00,Negative
1.50818e+18,2022-03-27 20:18:04+00:00,0,0,"rt @to_winterops: all expressways, main roads and bikeways are being salted. #cityoftowinteralert @311toronto","{'hashtags': [{'text': 'CityofTOWinterAlert', 'indices': [77, 97]}], 'urls': [], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [3, 16]}, {'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [98, 109]}], 'symbols': []}",midweekcycling,2022-03-27 20:18:04+00:00,2022-03-27 16:18:04-04:00,rt  to winterops  all expressways  main roads and bikeways are being salted   cityoftowinteralert  311toronto,0.0,2022-03-27 16:00:00-04:00,Neutral
1.50811e+18,2022-03-27 15:47:58+00:00,0,0,"rt @to_winterops: all expressways, main roads and bikeways are being salted. #cityoftowinteralert @311toronto","{'hashtags': [{'text': 'CityofTOWinterAlert', 'indices': [77, 97]}], 'urls': [], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [3, 16]}, {'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [98, 109]}], 'symbols': []}",TPSAux14Div,2022-03-27 15:47:58+00:00,2022-03-27 11:47:58-04:00,rt  to winterops  all expressways  main roads and bikeways are being salted   cityoftowinteralert  311toronto,0.0,2022-03-27 12:00:00-04:00,Neutral
1.5081e+18,2022-03-27 14:54:27+00:00,0,0,"rt @to_winterops: all expressways, main roads and bikeways are being salted. #cityoftowinteralert @311toronto","{'hashtags': [{'text': 'CityofTOWinterAlert', 'indices': [77, 97]}], 'urls': [], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [3, 16]}, {'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [98, 109]}], 'symbols': []}",TO_Transport,2022-03-27 14:54:27+00:00,2022-03-27 10:54:27-04:00,rt  to winterops  all expressways  main roads and bikeways are being salted   cityoftowinteralert  311toronto,0.0,2022-03-27 11:00:00-04:00,Neutral
1.50807e+18,2022-03-27 13:34:25+00:00,0,0,"rt @to_winterops: all expressways, main roads and bikeways are being salted. #cityoftowinteralert @311toronto","{'hashtags': [{'text': 'CityofTOWinterAlert', 'indices': [77, 97]}], 'urls': [], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [3, 16]}, {'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [98, 109]}], 'symbols': []}",ForgeRat,2022-03-27 13:34:25+00:00,2022-03-27 09:34:25-04:00,rt  to winterops  all expressways  main roads and bikeways are being salted   cityoftowinteralert  311toronto,0.0,2022-03-27 10:00:00-04:00,Neutral
1.50787e+18,2022-03-26 23:46:52+00:00,0,0,"@to_winterops @joshmatlow @cityoftoronto @johntory @to_transport major ask: last snow, front-end loader barely touc… https://t.co/dsmvldh2as","{'hashtags': [], 'urls': [{'url': 'https://t.co/DSmvLdh2aS', 'expanded_url': 'https://twitter.com/i/web/status/1507866708014510084', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [0, 13]}, {'screen_name': 'JoshMatlow', 'name': 'Josh Matlow', 'id': 15844405, 'id_str': '15844405', 'indices': [14, 25]}, {'screen_name': 'cityoftoronto', 'name': 'City of Toronto', 'id': 19377913, 'id_str': '19377913', 'indices': [26, 40]}, {'screen_name': 'JohnTory', 'name': 'John Tory', 'id': 89760824, 'id_str': '89760824', 'indices': [41, 50]}, {'screen_name': 'TO_Transport', 'name': 'TO Transportation', 'id': 238984493, 'id_str': '238984493', 'indices': [51, 64]}], 'symbols': []}",hillcopywriting,2022-03-26 23:46:52+00:00,2022-03-26 19:46:52-04:00, to winterops  joshmatlow  cityoftoronto  johntory  to transport major ask  last snow  front end loader barely touc… https   t co dsmvldh2as,0.0,2022-03-26 20:00:00-04:00,Neutral
1.50659e+18,2022-03-23 11:14:32+00:00,0,0,@to_winterops @311toronto is there any salting done yet today to tackle the forecasted freezing rain conditions?,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [0, 13]}, {'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [14, 25]}], 'symbols': []}",bdidol,2022-03-23 11:14:32+00:00,2022-03-23 07:14:32-04:00, to winterops  311toronto is there any salting done yet today to tackle the forecasted freezing rain conditions ,-0.4,2022-03-23 07:00:00-04:00,Negative
1.50408e+18,2022-03-16 13:09:34+00:00,0,0,"@to_winterops wondering why we needed to salt roads &amp; plow/salt sidewalks, when projected +2c all last night? seems… https://t.co/yzdpmxwgzf","{'hashtags': [], 'urls': [{'url': 'https://t.co/YzdpMxwGzf', 'expanded_url': 'https://twitter.com/i/web/status/1504082448954667011', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [0, 13]}], 'symbols': []}",hillcopywriting,2022-03-16 13:09:34+00:00,2022-03-16 09:09:34-04:00, to winterops wondering why we needed to salt roads  amp  plow salt sidewalks  when projected  2c all last night  seems… https   t co yzdpmxwgzf,0.0,2022-03-16 09:00:00-04:00,Neutral
