,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather,key,id,created_at,favorite_count,retweet_count,text,entities,screen_name,datetime_utc,datetime_est,text_no_punc,polarity,datetime_rounded,final_polarity
0,-79.4,43.67,TORONTO CITY,6158355.0,2022-01-01 00:00,2022.0,1.0,1.0,00:00,4.6,,3.7,,93.0,,0.0,,,,,,,,99.37,,,,,,,2022-01-01 00:00:00,,,,,,,,,,,,,
1,-79.4,43.67,TORONTO CITY,6158355.0,2022-01-01 01:00,2022.0,1.0,1.0,01:00,4.7,,3.5,,92.0,,0.0,,,,,,,,99.29,,,,,,,2022-01-01 01:00:00,,,,,,,,,,,,,
2,-79.4,43.67,TORONTO CITY,6158355.0,2022-01-01 02:00,2022.0,1.0,1.0,02:00,4.7,,3.7,,93.0,,0.0,,,,,,,,99.17,,,,,,,2022-01-01 02:00:00,,,,,,,,,,,,,
3,-79.4,43.67,TORONTO CITY,6158355.0,2022-01-01 03:00,2022.0,1.0,1.0,03:00,4.8,,4.1,,95.0,,0.0,,,,,,,,99.16,,,,,,,2022-01-01 03:00:00,,,,,,,,,,,,,
4,-79.4,43.67,TORONTO CITY,6158355.0,2022-01-01 04:00,2022.0,1.0,1.0,04:00,4.8,,4.4,,97.0,,0.0,,,,,,,,99.16,,,,,,,2022-01-01 04:00:00,,,,,,,,,,,,,
5,-79.4,43.67,TORONTO CITY,6158355.0,2022-01-01 05:00,2022.0,1.0,1.0,05:00,4.8,,4.5,,97.0,,0.0,,,,,,,,99.15,,,,,,,2022-01-01 05:00:00,,,,,,,,,,,,,
6,-79.4,43.67,TORONTO CITY,6158355.0,2022-01-01 06:00,2022.0,1.0,1.0,06:00,4.7,,4.2,,97.0,,0.0,,,,,,,,99.07,,,,,,,2022-01-01 06:00:00,,,,,,,,,,,,,
7,-79.4,43.67,TORONTO CITY,6158355.0,2022-01-01 07:00,2022.0,1.0,1.0,07:00,4.9,,4.2,,95.0,,0.0,,,,,,,,99.16,,,,,,,2022-01-01 07:00:00,,,,,,,,,,,,,
8,-79.4,43.67,TORONTO CITY,6158355.0,2022-01-01 08:00,2022.0,1.0,1.0,08:00,4.8,,4.1,,95.0,,0.0,,,,,,,,99.28,,,,,,,2022-01-01 08:00:00,,,,,,,,,,,,,
9,-79.4,43.67,TORONTO CITY,6158355.0,2022-01-01 09:00,2022.0,1.0,1.0,09:00,4.5,,2.9,,90.0,,0.0,,,,,,,,99.27,,,,,,,2022-01-01 09:00:00,,,,,,,,,,,,,
10,-79.4,43.67,TORONTO CITY,6158355.0,2022-01-01 10:00,2022.0,1.0,1.0,10:00,4.9,,2.6,,85.0,,0.0,,,,,,,,99.4,,,,,,,2022-01-01 10:00:00,,,,,,,,,,,,,
11,-79.4,43.67,TORONTO CITY,6158355.0,2022-01-01 11:00,2022.0,1.0,1.0,11:00,4.8,,2.2,,83.0,,0.0,,,,,,,,99.4,,,,,,,2022-01-01 11:00:00,,,,,,,,,,,,,
12,-79.4,43.67,TORONTO CITY,6158355.0,2022-01-01 12:00,2022.0,1.0,1.0,12:00,4.4,,1.4,,81.0,,0.0,,,,,,,,99.39,,,,,,,2022-01-01 12:00:00,,,,,,,,,,,,,
13,-79.4,43.67,TORONTO CITY,6158355.0,2022-01-01 13:00,2022.0,1.0,1.0,13:00,4.1,,0.6,,78.0,,0.0,,,,,,,,99.36,,,,,,,2022-01-01 13:00:00,,,,,,,,,,,,,
14,-79.4,43.67,TORONTO CITY,6158355.0,2022-01-01 14:00,2022.0,1.0,1.0,14:00,4.2,,0.4,,76.0,,0.0,,,,,,,,99.37,,,,,,,2022-01-01 14:00:00,,,,,,,,,,,,,
15,-79.4,43.67,TORONTO CITY,6158355.0,2022-01-01 15:00,2022.0,1.0,1.0,15:00,3.7,,0.0,,76.0,,0.0,,,,,,,,99.47,,,,,,,2022-01-01 15:00:00,,,,,,,,,,,,,
