"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-02-01 00:00","2022","02","01","00:00","-0.9","","-9.1","","54","","0.0","","9","","17","","16.1","","101.78","","","","-6","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-02-01 01:00","2022","02","01","01:00","-0.7","","-8.7","","55","","0.0","","9","","17","","16.1","","101.71","","","","-6","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-02-01 02:00","2022","02","01","02:00","-1.5","","-7.5","","64","","0.0","","13","","15","","16.1","","101.73","","","","-6","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-02-01 03:00","2022","02","01","03:00","-1.2","","-7.5","","63","","0.0","","16","","11","","16.1","","101.74","","","","-5","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-02-01 04:00","2022","02","01","04:00","-1.5","","-7.7","","63","","0.0","","18","","17","","16.1","","101.73","","","","-7","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-02-01 05:00","2022","02","01","05:00","-1.9","","-7.4","","66","","0.0","","15","","13","","16.1","","101.66","","","","-6","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-02-01 06:00","2022","02","01","06:00","-1.5","","-7.3","","65","","0.0","","16","","18","","16.1","","101.66","","","","-7","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-02-01 07:00","2022","02","01","07:00","-1.7","","-7.0","","67","","0.0","","18","","21","","16.1","","101.65","","","","-8","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-02-01 08:00","2022","02","01","08:00","-1.7","","-6.7","","69","","0.0","","17","","13","","16.1","","101.67","","","","-6","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-02-01 09:00","2022","02","01","09:00","-1.3","","-6.8","","67","","0.0","","18","","22","","16.1","","101.61","","","","-7","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-02-01 10:00","2022","02","01","10:00","-0.9","","-6.6","","65","","0.0","","18","","21","","16.1","","101.57","","","","-7","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-02-01 11:00","2022","02","01","11:00","-0.5","","-6.1","","66","","0.0","","17","","15","","16.1","","101.50","","","","-5","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-02-01 12:00","2022","02","01","12:00","0.8","","-5.4","","64","","0.0","","16","","18","","16.1","","101.36","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-02-01 13:00","2022","02","01","13:00","1.6","","-5.5","","59","","0.0","","14","","13","","16.1","","101.29","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2022-02-01 14:00","2022","02","01","14:00","2.6","","-4.7","","59","","0.0","","15","","11","","16.1","","101.25","","","","","","NA"
