"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.67","TORONTO CITY","6158355","2022-01-01 00:00","2022","01","01","00:00","4.6","","3.7","","93","","0.0","","","","","","","","99.37","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-01-01 01:00","2022","01","01","01:00","4.7","","3.5","","92","","0.0","","","","","","","","99.29","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-01-01 02:00","2022","01","01","02:00","4.7","","3.7","","93","","0.0","","","","","","","","99.17","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-01-01 03:00","2022","01","01","03:00","4.8","","4.1","","95","","0.0","","","","","","","","99.16","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-01-01 04:00","2022","01","01","04:00","4.8","","4.4","","97","","0.0","","","","","","","","99.16","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-01-01 05:00","2022","01","01","05:00","4.8","","4.5","","97","","0.0","","","","","","","","99.15","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-01-01 06:00","2022","01","01","06:00","4.7","","4.2","","97","","0.0","","","","","","","","99.07","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-01-01 07:00","2022","01","01","07:00","4.9","","4.2","","95","","0.0","","","","","","","","99.16","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-01-01 08:00","2022","01","01","08:00","4.8","","4.1","","95","","0.0","","","","","","","","99.28","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-01-01 09:00","2022","01","01","09:00","4.5","","2.9","","90","","0.0","","","","","","","","99.27","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-01-01 10:00","2022","01","01","10:00","4.9","","2.6","","85","","0.0","","","","","","","","99.40","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-01-01 11:00","2022","01","01","11:00","4.8","","2.2","","83","","0.0","","","","","","","","99.40","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-01-01 12:00","2022","01","01","12:00","4.4","","1.4","","81","","0.0","","","","","","","","99.39","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-01-01 13:00","2022","01","01","13:00","4.1","","0.6","","78","","0.0","","","","","","","","99.36","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-01-01 14:00","2022","01","01","14:00","4.2","","0.4","","76","","0.0","","","","","","","","99.37","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-01-01 15:00","2022","01","01","15:00","3.7","","0.0","","76","","0.0","","","","","","","","99.47","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-01-01 16:00","2022","01","01","16:00","3.1","","-0.8","","76","","0.0","","","","","","","","99.40","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-01-01 17:00","2022","01","01","17:00","3.0","","-0.6","","77","","0.0","","","","","","","","99.48","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-01-01 18:00","2022","01","01","18:00","2.2","","-1.2","","78","","0.0","","","","","","","","99.49","","","","","","NA"
