"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-01 00:00","2022","02","01","00:00","-1.0","","-9.7","","52","","0.0","","","","","","","","101.28","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-01 01:00","2022","02","01","01:00","-1.0","","-9.0","","55","","0.0","","","","","","","","101.20","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-01 02:00","2022","02","01","02:00","-1.4","","-7.5","","63","","0.0","","","","","","","","101.22","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-01 03:00","2022","02","01","03:00","-1.7","","-8.4","","60","","0.0","","","","","","","","101.24","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-01 04:00","2022","02","01","04:00","-1.7","","-7.9","","62","","0.0","","","","","","","","101.22","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-01 05:00","2022","02","01","05:00","-1.8","","-7.3","","66","","0.0","","","","","","","","101.15","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-01 06:00","2022","02","01","06:00","-1.7","","-7.1","","66","","0.0","","","","","","","","101.15","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-01 07:00","2022","02","01","07:00","-1.7","","-7.3","","66","","0.0","","","","","","","","101.14","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-01 08:00","2022","02","01","08:00","-2.1","","-7.4","","67","","0.0","","","","","","","","101.15","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-01 09:00","2022","02","01","09:00","-1.4","","-7.1","","65","","0.0","","","","","","","","101.09","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-01 10:00","2022","02","01","10:00","-0.6","","-7.1","","61","","0.0","","","","","","","","101.07","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-01 11:00","2022","02","01","11:00","-0.2","","-6.9","","61","","0.0","","","","","","","","101.00","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-01 12:00","2022","02","01","12:00","0.8","","-6.0","","60","","0.0","","","","","","","","100.85","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-01 13:00","2022","02","01","13:00","1.8","","-6.6","","54","","0.0","","","","","","","","100.79","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-01 14:00","2022","02","01","14:00","2.6","","-6.1","","53","","0.0","","","","","","","","100.76","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-01 15:00","2022","02","01","15:00","3.2","","-5.5","","53","","0.0","","","","","","","","100.71","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-01 16:00","2022","02","01","16:00","3.1","","-5.4","","54","","0.0","","","","","","","","100.65","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-01 17:00","2022","02","01","17:00","2.7","","-3.6","","63","","0.0","","","","","","","","100.60","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-01 18:00","2022","02","01","18:00","2.9","","-2.5","","68","","0.0","","","","","","","","100.54","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-01 19:00","2022","02","01","19:00","3.7","","-2.9","","62","","0.0","","","","","","","","100.52","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-01 20:00","2022","02","01","20:00","4.8","","-4.2","","52","","0.0","","","","","","","","100.48","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-01 21:00","2022","02","01","21:00","4.4","","-3.7","","55","","0.0","","","","","","","","100.49","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-01 22:00","2022","02","01","22:00","4.2","","-2.4","","62","","0.0","","","","","","","","100.50","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-01 23:00","2022","02","01","23:00","4.4","","-2.7","","60","","0.0","","","","","","","","100.52","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-02 00:00","2022","02","02","00:00","4.0","","-2.2","","64","","0.0","","","","","","","","100.51","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-02 01:00","2022","02","02","01:00","4.5","","-2.2","","62","","0.0","","","","","","","","100.53","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-02 02:00","2022","02","02","02:00","4.6","","-2.6","","60","","0.0","","","","","","","","100.53","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-02 03:00","2022","02","02","03:00","4.5","","-2.4","","61","","0.0","","","","","","","","100.60","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-02 04:00","2022","02","02","04:00","4.4","","-2.1","","63","","0.0","","","","","","","","100.56","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-02 05:00","2022","02","02","05:00","4.1","","-1.7","","66","","0.1","","","","","","","","100.63","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-02 06:00","2022","02","02","06:00","3.6","","-1.6","","69","","0.2","","","","","","","","100.56","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-02 07:00","2022","02","02","07:00","4.0","","-2.0","","65","","0.0","","","","","","","","100.62","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-02 08:00","2022","02","02","08:00","4.0","","-2.7","","62","","0.0","","","","","","","","100.68","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-02 09:00","2022","02","02","09:00","3.9","","-2.3","","64","","0.0","","","","","","","","100.71","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-02 10:00","2022","02","02","10:00","4.6","","-2.4","","60","","0.0","","","","","","","","100.68","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-02 11:00","2022","02","02","11:00","4.7","","-2.6","","59","","0.0","","","","","","","","100.67","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-02 12:00","2022","02","02","12:00","4.0","","-1.5","","67","","0.1","","","","","","","","100.71","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-02 13:00","2022","02","02","13:00","2.8","","-0.1","","81","","1.5","","","","","","","","100.64","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-02 14:00","2022","02","02","14:00","2.9","","0.7","","86","","0.5","","","","","","","","100.56","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-02 15:00","2022","02","02","15:00","2.7","","1.0","","89","","0.6","","","","","","","","100.55","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-02 16:00","2022","02","02","16:00","2.9","","1.4","","90","","1.3","","","","","","","","100.54","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-02 17:00","2022","02","02","17:00","2.7","","1.6","","93","","1.7","","","","","","","","100.56","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-02 18:00","2022","02","02","18:00","2.0","","0.8","","92","","1.6","","","","","","","","100.55","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-02 19:00","2022","02","02","19:00","0.6","","-0.7","","91","","1.4","","","","","","","","100.57","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-02 20:00","2022","02","02","20:00","-0.2","","-2.1","","87","","0.3","","","","","","","","100.60","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-02 21:00","2022","02","02","21:00","-1.2","","-2.9","","88","","0.4","","","","","","","","100.62","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-02 22:00","2022","02","02","22:00","-1.6","","-3.2","","89","","0.5","","","","","","","","100.71","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-02 23:00","2022","02","02","23:00","-2.1","","-3.4","","91","","1.1","","","","","","","","100.67","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-03 00:00","2022","02","03","00:00","-2.3","","-3.8","","90","","0.7","","","","","","","","100.80","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-03 01:00","2022","02","03","01:00","-2.5","","-4.2","","88","","0.5","","","","","","","","100.80","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-03 02:00","2022","02","03","02:00","-2.5","","-4.5","","86","","0.1","","","","","","","","100.84","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-03 03:00","2022","02","03","03:00","-2.2","","-5.1","","81","","0.0","","","","","","","","100.89","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-03 04:00","2022","02","03","04:00","-2.2","","-5.3","","79","","0.0","","","","","","","","100.98","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-03 05:00","2022","02","03","05:00","-2.5","","-5.5","","80","","0.0","","","","","","","","101.03","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-03 06:00","2022","02","03","06:00","-2.8","","-5.9","","79","","0.0","","","","","","","","101.12","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-03 07:00","2022","02","03","07:00","-3.2","","-6.5","","78","","0.0","","","","","","","","101.27","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-03 08:00","2022","02","03","08:00","-4.0","","-7.5","","77","","0.0","","","","","","","","101.38","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-03 09:00","2022","02","03","09:00","-5.0","","-8.8","","74","","0.0","","","","","","","","101.42","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-03 10:00","2022","02","03","10:00","-5.0","","-8.9","","74","","0.0","","","","","","","","101.48","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-03 11:00","2022","02","03","11:00","-5.6","","-9.9","","71","","0.0","","","","","","","","101.51","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-02-03 12:00","2022","02","03","12:00","-5.7","","-10.6","","68","","0.0","","","","","","","","101.50","","","","","","NA"
