"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.67","TORONTO CITY","6158355","2022-03-01 00:00","2022","03","01","00:00","-3.1","","-9.7","","60","","0.0","","","","","","","","100.47","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-03-01 01:00","2022","03","01","01:00","-2.7","","-8.6","","64","","0.0","","","","","","","","100.36","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-03-01 02:00","2022","03","01","02:00","-2.2","","-7.8","","66","","0.0","","","","","","","","100.22","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-03-01 03:00","2022","03","01","03:00","-1.9","","-6.9","","69","","0.0","","","","","","","","100.06","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-03-01 04:00","2022","03","01","04:00","-1.5","","-6.4","","69","","0.0","","","","","","","","99.95","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-03-01 05:00","2022","03","01","05:00","-0.9","","-5.3","","72","","0.0","","","","","","","","99.86","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-03-01 06:00","2022","03","01","06:00","-0.5","","-5.3","","70","","0.0","","","","","","","","99.80","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-03-01 07:00","2022","03","01","07:00","-0.3","","-5.6","","67","","0.0","","","","","","","","99.77","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-03-01 08:00","2022","03","01","08:00","0.1","","-5.4","","67","","0.0","","","","","","","","99.78","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-03-01 09:00","2022","03","01","09:00","0.2","","-5.3","","67","","0.0","","","","","","","","99.77","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-03-01 10:00","2022","03","01","10:00","0.5","","-4.9","","67","","0.0","","","","","","","","99.71","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2022-03-01 11:00","2022","03","01","11:00","2.2","","-3.8","","65","","0.0","","","","","","","","99.65","","","","","","NA"
